 INDEX SURFACE/CORE REORDERING -> INITIAL ORDERING
 NAT           65
           1           1
           2           2
           3           3
 2      62   31
 2      62   53
 2      62   58
 2      62   61
 2      63   48
 2      63   49
 2      63   60
 2      63   61
 2      64   31
 2      64   40
 2      64   61
 2      64   62
 2      64   63
 2      65   40
 2      65   49
 2      65   63
 2      65   64
 3       2    1    3
 3       2    1   28
 3       3    1   23
 3       3    2    7
 3       6    5    8
 3       6    5   34
 3       7    2   32
 3       7    3    9
 3       7    5    8
 3       7    5   32
 3       8    6   13
 3       8    7    9
 3       9    3   25
 3       9    8   15
 3      12   11   14
 3      12   11   43
 3      13    6   41
 3      13    8   15
 3      13   11   14
 3      13   11   41
 3      14   12   21
 3      14   13   15
 3      15    9   26
 3      15   14   24
 3      19   18   22
 3      19   18   54
 3      21   12   51
 3      21   14   24
 3      21   18   22
 3      21   18   51
 3      22   19   23
 3      22   21   24
 3      23    1   53
 3      23    3   25
 3      23   19   53
 3      23   22   25
 3      24   15   26
 3      24   22   25
 3      25    9   26
 3      25   24   26
 3      28    1   29
 3      28    2   30
 3      29    1   53
 3      29   28   30
 3      30    2   32
 3      30   29   31
 3      31   29   62
 3      31   30   38
 3      32    5   36
 3      32   30   38
 3      34    5   36
 3      34    6   37
 3      36   32   38
 3      36   34   37
 3      37    6   41
 3      37   36   39
 3      38   31   40
 3      38   36   39
 3      39   37   47
 3      39   38   40
 3      40   31   64
 3      40   39   49
 3      41   11   45
 3      41   37   47
 3      43   11   45
 3      43   12   46
 3      45   41   47
 3      45   43   46
 3      46   12   51
 3      46   45   48
 3      47   39   49
 3      47   45   48
 3      48   46   60
 3      48   47   49
 3      49   40   65
 3      49   48   63
 3      51   18   57
 3      51   46   60
 3      53   19   58
 3      53   29   62
 3      54   18   57
 3      54   19   58
 3      57   51   60
 3      57   54   58
 3      58   53   62
 3      58   57   61
 3      60   48   63
 3      60   57   61
 3      61   58   62
 3      61   60   63
 3      62   31   64
 3      62   61   64
 3      63   49   65
 3      63   61   64
 3      64   40   65
 3      64   63   65
 POLYGONS. INITIAL NUMBERING. This is for pyPolyhedra
 NPOLYG234:         240
( 1, 0,
( 2, 0,
( 2, 1,
( 5, 4,
( 6, 1,
( 6, 2,
( 6, 4,
( 7, 4,
( 7, 5,
( 7, 6,
( 8, 2,
( 8, 6,
( 8, 7,
( 11, 10,
( 12, 5,
( 12, 7,
( 12, 10,
( 13, 10,
( 13, 11,
( 13, 12,
( 14, 7,
( 14, 8,
( 14, 12,
( 14, 13,
( 18, 17,
( 20, 11,
( 20, 13,
( 20, 17,
( 21, 17,
( 21, 18,
( 21, 20,
( 22, 0,
( 22, 2,
( 22, 18,
( 22, 21,
( 23, 13,
( 23, 14,
( 23, 20,
( 23, 21,
( 24, 2,
( 24, 8,
( 24, 21,
( 24, 22,
( 24, 23,
( 25, 8,
( 25, 14,
( 25, 23,
( 25, 24,
( 27, 0,
( 27, 1,
( 28, 0,
( 28, 27,
( 29, 1,
( 29, 27,
( 29, 28,
( 30, 28,
( 30, 29,
( 31, 1,
( 31, 4,
( 31, 6,
( 31, 29,
( 33, 4,
( 33, 5,
( 35, 4,
( 35, 31,
( 35, 33,
( 36, 5,
( 36, 33,
( 36, 35,
( 37, 29,
( 37, 30,
( 37, 31,
( 37, 35,
( 38, 35,
( 38, 36,
( 38, 37,
( 39, 30,
( 39, 37,
( 39, 38,
( 40, 5,
( 40, 10,
( 40, 12,
( 40, 36,
( 42, 10,
( 42, 11,
( 44, 10,
( 44, 40,
( 44, 42,
( 45, 11,
( 45, 42,
( 45, 44,
( 46, 36,
( 46, 38,
( 46, 40,
( 46, 44,
( 47, 44,
( 47, 45,
( 47, 46,
( 48, 38,
( 48, 39,
( 48, 46,
( 48, 47,
( 50, 11,
( 50, 17,
( 50, 20,
( 50, 45,
( 52, 0,
( 52, 18,
( 52, 22,
( 52, 28,
( 53, 17,
( 53, 18,
( 56, 17,
( 56, 50,
( 56, 53,
( 57, 18,
( 57, 52,
( 57, 53,
( 57, 56,
( 59, 45,
( 59, 47,
( 59, 50,
( 59, 56,
( 60, 56,
( 60, 57,
( 60, 59,
( 61, 28,
( 61, 30,
( 61, 52,
( 61, 57,
( 61, 60,
( 62, 47,
( 62, 48,
( 62, 59,
( 62, 60,
( 63, 30,
( 63, 39,
( 63, 60,
( 63, 61,
( 63, 62,
( 64, 39,
( 64, 48,
( 64, 62,
( 64, 63,
( 1, 0, 2,
( 1, 0, 27,
( 2, 0, 22,
( 2, 1, 6,
( 5, 4, 7,
( 5, 4, 33,
( 6, 1, 31,
( 6, 2, 8,
( 6, 4, 7,
( 6, 4, 31,
( 7, 5, 12,
( 7, 6, 8,
( 8, 2, 24,
( 8, 7, 14,
( 11, 10, 13,
( 11, 10, 42,
( 12, 5, 40,
( 12, 7, 14,
( 12, 10, 13,
( 12, 10, 40,
( 13, 11, 20,
( 13, 12, 14,
( 14, 8, 25,
( 14, 13, 23,
( 18, 17, 21,
( 18, 17, 53,
( 20, 11, 50,
( 20, 13, 23,
( 20, 17, 21,
( 20, 17, 50,
( 21, 18, 22,
( 21, 20, 23,
( 22, 0, 52,
( 22, 2, 24,
( 22, 18, 52,
( 22, 21, 24,
( 23, 14, 25,
( 23, 21, 24,
( 24, 8, 25,
( 24, 23, 25,
( 27, 0, 28,
( 27, 1, 29,
( 28, 0, 52,
( 28, 27, 29,
( 29, 1, 31,
( 29, 28, 30,
( 30, 28, 61,
( 30, 29, 37,
( 31, 4, 35,
( 31, 29, 37,
( 33, 4, 35,
( 33, 5, 36,
( 35, 31, 37,
( 35, 33, 36,
( 36, 5, 40,
( 36, 35, 38,
( 37, 30, 39,
( 37, 35, 38,
( 38, 36, 46,
( 38, 37, 39,
( 39, 30, 63,
( 39, 38, 48,
( 40, 10, 44,
( 40, 36, 46,
( 42, 10, 44,
( 42, 11, 45,
( 44, 40, 46,
( 44, 42, 45,
( 45, 11, 50,
( 45, 44, 47,
( 46, 38, 48,
( 46, 44, 47,
( 47, 45, 59,
( 47, 46, 48,
( 48, 39, 64,
( 48, 47, 62,
( 50, 17, 56,
( 50, 45, 59,
( 52, 18, 57,
( 52, 28, 61,
( 53, 17, 56,
( 53, 18, 57,
( 56, 50, 59,
( 56, 53, 57,
( 57, 52, 61,
( 57, 56, 60,
( 59, 47, 62,
( 59, 56, 60,
( 60, 57, 61,
( 60, 59, 62,
( 61, 30, 63,
( 61, 60, 63,
( 62, 48, 64,
( 62, 60, 63,
( 63, 39, 64,
( 63, 62, 64,
