1688
{'composition': {'Au': 1688}, 'crystal structure': 'fcc', 'shape': 'cube', 'size': 30}
# r,gr
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,1.800717599689960480e-02
1.999999955296516418e-02,3.523232415318489075e-02
2.999999932944774628e-02,5.092158168554306030e-02
3.999999910593032837e-02,6.437665224075317383e-02
5.000000074505805969e-02,7.498084753751754761e-02
5.999999865889549255e-02,8.221889287233352661e-02
7.000000029802322388e-02,8.569987863302230835e-02
7.999999821186065674e-02,8.516718447208404541e-02
8.999999612569808960e-02,8.051191270351409912e-02
1.000000014901161194e-01,7.177449017763137817e-02
1.099999994039535522e-01,5.914440751075744629e-02
1.199999973177909851e-01,4.295399412512779236e-02
1.299999952316284180e-01,2.366723120212554932e-02
1.400000005960464478e-01,1.862099277786910534e-03
1.499999910593032837e-01,-2.178856730461120605e-02
1.599999964237213135e-01,-4.654244333505630493e-02
1.700000017881393433e-01,-7.161422818899154663e-02
1.799999922513961792e-01,-9.620077908039093018e-02
1.899999976158142090e-01,-1.195174157619476318e-01
2.000000029802322388e-01,-1.408186256885528564e-01
2.099999934434890747e-01,-1.594305932521820068e-01
2.199999988079071045e-01,-1.747734844684600830e-01
2.299999892711639404e-01,-1.863853484392166138e-01
2.399999946355819702e-01,-1.939382553100585938e-01
2.500000000000000000e-01,-1.972511559724807739e-01
2.599999904632568359e-01,-1.962974667549133301e-01
2.699999809265136719e-01,-1.912079155445098877e-01
2.800000011920928955e-01,-1.822671592235565186e-01
2.899999916553497314e-01,-1.699035465717315674e-01
2.999999821186065674e-01,-1.546741276979446411e-01
3.100000023841857910e-01,-1.372459679841995239e-01
3.199999928474426270e-01,-1.183736994862556458e-01
3.299999833106994629e-01,-9.887077659368515015e-02
3.400000035762786865e-01,-7.957985997200012207e-02
3.499999940395355225e-01,-6.134591251611709595e-02
3.599999845027923584e-01,-4.497897624969482422e-02
3.700000047683715820e-01,-3.122940659523010254e-02
3.799999952316284180e-01,-2.075517922639846802e-02
3.899999856948852539e-01,-1.410290785133838654e-02
4.000000059604644775e-01,-1.167856995016336441e-02
4.099999964237213135e-01,-1.373699959367513657e-02
4.200000166893005371e-01,-2.036818861961364746e-02
4.300000071525573730e-01,-3.149281069636344910e-02
4.399999976158142090e-01,-4.686569795012474060e-02
4.500000178813934326e-01,-6.607582420110702515e-02
4.600000083446502686e-01,-8.856967836618423462e-02
4.699999988079071045e-01,-1.136610805988311768e-01
4.799999892711639404e-01,-1.405615359544754028e-01
4.899999797344207764e-01,-1.684046387672424316e-01
5.000000000000000000e-01,-1.962796002626419067e-01
5.099999904632568359e-01,-2.232631295919418335e-01
5.199999809265136719e-01,-2.484533637762069702e-01
5.299999713897705078e-01,-2.710066735744476318e-01
5.399999618530273438e-01,-2.901674211025238037e-01
5.500000119209289551e-01,-3.052970468997955322e-01
5.600000023841857910e-01,-3.159018754959106445e-01
5.699999928474426270e-01,-3.216518461704254150e-01
5.799999833106994629e-01,-3.223953545093536377e-01
5.899999737739562988e-01,-3.181659877300262451e-01
6.000000238418579102e-01,-3.091907799243927002e-01
6.100000143051147461e-01,-2.958742976188659668e-01
6.200000047683715820e-01,-2.787908315658569336e-01
6.299999952316284180e-01,-2.586659193038940430e-01
6.399999856948852539e-01,-2.363531291484832764e-01
6.499999761581420898e-01,-2.128001898527145386e-01
6.599999666213989258e-01,-1.890098601579666138e-01
6.699999570846557617e-01,-1.660155355930328369e-01
6.800000071525573730e-01,-1.448320150375366211e-01
6.899999976158142090e-01,-1.264202147722244263e-01
6.999999880790710449e-01,-1.116510331630706787e-01
7.099999785423278809e-01,-1.012704148888587952e-01
