# q,fq
8.150000572204589844e+00,-1.597792744636535645e+00
8.199999809265136719e+00,-1.214449882507324219e+00
8.250000000000000000e+00,-7.794232368469238281e-01
8.300000190734863281e+00,-3.362667858600616455e-01
8.349999427795410156e+00,7.678064703941345215e-02
8.399999618530273438e+00,4.292649626731872559e-01
8.449999809265136719e+00,6.995077133178710938e-01
8.500000000000000000e+00,8.746635317802429199e-01
8.550000190734863281e+00,9.504256844520568848e-01
8.600000381469726562e+00,9.308999180793762207e-01
8.650000572204589844e+00,8.283892869949340820e-01
8.700000762939453125e+00,6.626498103141784668e-01
8.750000000000000000e+00,4.589880406856536865e-01
8.800000190734863281e+00,2.448551356792449951e-01
8.850000381469726562e+00,4.565510898828506470e-02
8.900000572204589844e+00,-1.194391325116157532e-01
8.950000762939453125e+00,-2.402693927288055420e-01
9.000000000000000000e+00,-3.163866102695465088e-01
9.050000190734863281e+00,-3.555600643157958984e-01
9.100000381469726562e+00,-3.707173168659210205e-01
9.149999618530273438e+00,-3.765116333961486816e-01
9.199999809265136719e+00,-3.863120675086975098e-01
9.250000000000000000e+00,-4.102611243724822998e-01
9.300000190734863281e+00,-4.543475508689880371e-01
9.350000381469726562e+00,-5.201942324638366699e-01
9.399999618530273438e+00,-6.053537726402282715e-01
9.449999809265136719e+00,-7.037652134895324707e-01
9.500000000000000000e+00,-8.065444827079772949e-01
9.549999237060546875e+00,-9.028850793838500977e-01
9.599999427795410156e+00,-9.809477329254150391e-01
9.649999618530273438e+00,-1.028270244598388672e+00
9.699999809265136719e+00,-1.031399965286254883e+00
9.750000000000000000e+00,-9.750371575355529785e-01
9.800000190734863281e+00,-8.413604497909545898e-01
9.850000381469726562e+00,-6.108998656272888184e-01
9.900000572204589844e+00,-2.660913467407226562e-01
9.949999809265136719e+00,2.021305710077285767e-01
1.000000000000000000e+01,7.858412861824035645e-01
1.005000019073486328e+01,1.452200531959533691e+00
1.010000038146972656e+01,2.139584302902221680e+00
1.015000057220458984e+01,2.760871171951293945e+00
1.019999980926513672e+01,3.215270757675170898e+00
1.025000000000000000e+01,3.407661914825439453e+00
1.030000019073486328e+01,3.271179199218750000e+00
1.034999942779541016e+01,2.787467241287231445e+00
1.039999961853027344e+01,1.998097538948059082e+00
1.044999980926513672e+01,1.002889752388000488e+00
