# q,fq
1.000000000000000000e+00,-3.935167491436004639e-01
1.049999952316284180e+00,-3.844251632690429688e-01
1.100000023841857910e+00,-4.397935867309570312e-01
1.149999976158142090e+00,-5.274686813354492188e-01
1.200000047683715820e+00,-5.889270305633544922e-01
1.250000000000000000e+00,-5.990291237831115723e-01
1.299999952316284180e+00,-5.842689871788024902e-01
1.350000023841857910e+00,-5.895373225212097168e-01
1.399999976158142090e+00,-6.336895823478698730e-01
1.449999928474426270e+00,-6.963181495666503906e-01
1.500000000000000000e+00,-7.417435646057128906e-01
1.549999952316284180e+00,-7.532975077629089355e-01
1.600000023841857910e+00,-7.468007206916809082e-01
1.649999976158142090e+00,-7.536449432373046875e-01
1.699999928474426270e+00,-7.906189560890197754e-01
1.750000000000000000e+00,-8.446364402770996094e-01
1.799999952316284180e+00,-8.863065242767333984e-01
1.849999904632568359e+00,-8.987022638320922852e-01
1.899999976158142090e+00,-8.932732343673706055e-01
1.949999928474426270e+00,-8.978804349899291992e-01
2.000000000000000000e+00,-9.292042851448059082e-01
2.049999952316284180e+00,-9.757382273674011230e-01
2.099999904632568359e+00,-1.006289005279541016e+00
2.149999856948852539e+00,-9.951439499855041504e-01
2.200000047683715820e+00,-9.416673779487609863e-01
2.250000000000000000e+00,-8.695372343063354492e-01
2.299999952316284180e+00,-8.083251714706420898e-01
2.350000143051147461e+00,-7.698742151260375977e-01
2.400000095367431641e+00,-7.355663180351257324e-01
2.450000047683715820e+00,-6.711713075637817383e-01
2.500000000000000000e+00,-5.648395419120788574e-01
2.549999952316284180e+00,-4.342094957828521729e-01
2.599999904632568359e+00,-2.466184049844741821e-01
2.649999856948852539e+00,1.804914623498916626e-01
2.699999809265136719e+00,1.104045152664184570e+00
2.750000000000000000e+00,2.536532878875732422e+00
2.799999952316284180e+00,3.977390289306640625e+00
2.849999904632568359e+00,4.614205360412597656e+00
2.899999856948852539e+00,3.967265844345092773e+00
2.949999809265136719e+00,2.369599580764770508e+00
3.000000000000000000e+00,7.453621625900268555e-01
3.049999952316284180e+00,-1.047465130686759949e-01
3.099999904632568359e+00,8.191351778805255890e-03
